Date,Open,High,Adj Close1,Low,Close,Adj Close,Volume
2011/7/1,132.089996,134.100006,117.161659,131.779999,133.919998,117.161659,202385700
2011/7/5,133.779999,134.080002,117.065437,133.389999,133.809998,117.065437,165936000
2011/7/6,133.490005,134.139999,117.205429,133.110001,133.970001,117.205429,143331600
2011/7/7,135.160004,135.699997,118.421478,134.880005,135.360001,118.421478,170464200
2011/7/8,133.830002,135.360001,117.581619,133.389999,134.399994,117.581619,194100500
2011/7/11,132.75,133.179993,115.455704,131.660004,131.970001,115.455704,195918600
2011/7/12,131.690002,132.779999,114.957031,131.360001,131.399994,114.957031,214675700
2011/7/13,132.089996,133.220001,115.341949,131.520004,131.839996,115.341949,204062600
2011/7/14,132.169998,132.779999,114.54586,130.679993,130.929993,114.54586,226111800
2011/7/15,131.660004,131.869995,115.210724,130.770004,131.690002,115.210724,220012800
2011/7/18,131.080002,131.279999,114.265884,129.630005,130.610001,114.265884,196872100
2011/7/19,131.339996,132.889999,116.120598,131.309998,132.729996,116.120598,166554900
2011/7/20,133.070007,133.149994,116.050583,132.419998,132.649994,116.050583,137145400
2011/7/21,133.399994,134.820007,117.660332,132.669998,134.490005,117.660332,245246300
2011/7/22,134.520004,134.720001,117.73909,133.759995,134.580002,117.73909,126019400
2011/7/25,133.300003,134.490005,117.082932,133.160004,133.830002,117.082932,136653800
2011/7/26,133.740005,133.960007,116.645531,133.029999,133.330002,116.645531,131278200
2011/7/27,132.589996,132.630005,114.257141,130.429993,130.600006,114.257141,249020100
2011/7/28,130.600006,131.770004,113.92466,130.009995,130.220001,113.92466,207939900
2011/7/29,128.910004,130.550003,113.146065,127.970001,129.330002,113.146065,307038400
2011/8/1,130.839996,130.960007,112.664886,127.529999,128.779999,112.664886,325790900
2011/8/2,127.809998,128.5,109.78656,125.489998,125.489998,109.78656,346653800
2011/8/3,125.660004,126.309998,110.3815,123.529999,126.169998,110.3815,370830800
2011/8/4,124.419998,124.620003,105.211067,120.059998,120.260002,105.211067,520721800
2011/8/5,121.760002,122.07,105.053574,116.860001,120.080002,105.053574,655619200
2011/8/8,116.910004,120.120003,98.212151,112.019997,112.260002,98.212151,702263900
2011/8/9,114.07,117.639999,102.778923,110.269997,117.480003,102.778923,717828700
2011/8/10,115.260002,116.279999,98.23838,111.949997,112.290001,98.23838,662607400
2011/8/11,113.260002,118.919998,102.647705,112.32,117.330002,102.647705,487979700
2011/8/12,118.400002,119.209999,103.338837,117.279999,118.120003,103.338837,313731600
2011/8/15,119.190002,120.739998,105.526009,119,120.620003,105.526009,258810600
2011/8/16,119.470001,120.690002,104.624908,118.309998,119.589996,104.624908,294095200
2011/8/17,120.25,121.199997,104.694885,118.720001,119.669998,104.694885,238201100
2011/8/18,116.5,119.709999,100.180588,113.389999,114.510002,100.180588,512956300
2011/8/19,112.959999,115.879997,98.544586,112.5,112.639999,98.544586,428281300
2011/8/22,115.169998,115.230003,98.623329,112.410004,112.730003,98.623329,275090600
2011/8/23,113.150002,116.57,101.869087,112.580002,116.440002,101.869087,331136600
2011/8/24,116.190002,118.239998,103.303856,115.919998,118.080002,103.303856,246869700
2011/8/25,118.730003,119.400002,101.729088,115.870003,116.279999,101.729088,312365400
2011/8/26,115.690002,118.510002,103.207611,113.849998,117.970001,103.207611,314495900
2011/8/29,119.559998,121.43,106.173401,118.059998,121.360001,106.173401,190977200
2011/8/30,120.830002,122.43,106.453362,119.260002,121.68,106.453362,241315700
2011/8/31,122.459999,123.510002,106.925789,121.300003,122.220001,106.925789,301828400
2011/9/1,122.290001,123.400002,105.805969,120.779999,120.940002,105.805969,254585900
2011/9/2,118.419998,120.870003,103.102608,117.43,117.849998,103.102608,255517200
2011/9/6,114.389999,117.160004,102.350235,114.379997,116.989998,102.350235,285130500
